Word,file2_col1,file2_col2,file2_col3,file2_col4,file2_col5,file2_col6,file2_col7,file2_col8,file2_col9,file2_col10,file2_col11
precipitate,precipitate,precipitates,precipitated,precipitating,precipitatings,,,,,,
precipitation,precipitation,precipitations,,,,,,,,,
presenter,presenter,presenters,,,,,,,,,
prestigious,prestigious,,,,,,,,,,
prevalence,prevalence,prevalences,,,,,,,,,
preview,preview,previews,previewed,previewing,previewings,,,,,,
primer,primer,primers,,,,,,,,,
professionally,professionally,,,,,,,,,,
proficiency,proficiency,proficiencies,,,,,,,,,
programmer,programmer,programmers,programer,programers,,,,,,,
progression,progression,progressions,,,,,,,,,
projector,projector,projectors,,,,,,,,,
promotional,promotional,promotionals,,,,,,,,,
promptly,promptly,,,,,,,,,,
proofread,proofread,proofreads,proofreaded,proofreading,proofreadings,,,,,,
proton,proton,protons,,,,,,,,,
publicize,publicize,publicizes,publicized,publicizing,publicise,publicises,publicised,publicising,publicisings,,
punctual,punctual,punctuals,,,,,,,,,
purser,purser,pursers,,,,,,,,,
qualitative,qualitative,,,,,,,,,,
quantum,quantum,,,,,,,,,,
quiz,quiz,quizs,quizzes,quizzed,quizzing,quizzings,,,,,
radar,radar,radars,,,,,,,,,
radius,radius,radii,,,,,,,,,
raincoat,raincoat,raincoats,,,,,,,,,
rainfall,rainfall,rainfalls,,,,,,,,,
rainy,rainy,rainier,rainiest,,,,,,,,
randomize,randomize,randomizes,randomized,randomizing,randomise,randomises,randomised,randomising,randomisings,,
randomly,randomly,,,,,,,,,,
rationality,rationality,rationalities,,,,,,,,,
reactive,reactive,,,,,,,,,,
reactor,reactor,reactors,,,,,,,,,
realism,realism,realisms,,,,,,,,,
realtor,realtor,realtors,,,,,,,,,
rearrange,rearrange,rearranges,rearranged,rearranging,rearrangings,,,,,,
rebate,rebate,rebates,rebated,rebating,rebatings,,,,,,
receptionist,receptionist,receptionists,,,,,,,,,
receptor,receptor,receptors,,,,,,,,,
reconsider,reconsider,reconsiders,reconsidered,reconsidering,reconsiderings,,,,,,
reconstruct,reconstruct,reconstructs,reconstructed,reconstructing,reconstructings,,,,,,
recreation,recreation,recreations,,,,,,,,,
recreational,recreational,recreationals,,,,,,,,,
recruiter,recruiter,recruiters,,,,,,,,,
recur,recur,recurs,recurred,recurring,recurrings,,,,,,
redecorate,redecorate,redecorates,redecorated,redecorating,redecoratings,,,,,,
redesign,redesign,redesigns,redesigned,redesigning,redesignings,,,,,,
referral,referral,referrals,,,,,,,,,
refinery,refinery,refineries,,,,,,,,,
reflexive,reflexive,reflexives,,,,,,,,,
refreshment,refreshment,refreshments,,,,,,,,,
refrigerator,refrigerator,refrigerators,,,,,,,,,
refund,refund,refunds,refunded,refunding,refundings,,,,,,
refundable,refundable,refundables,,,,,,,,,
regression,regression,regressions,,,,,,,,,
rehabilitation,rehabilitation,rehabilitations,,,,,,,,,
rehearse,rehearse,rehearses,rehearsed,rehearsing,rehearsings,,,,,,
reimburse,reimburse,reimburses,reimbursed,reimbursing,reimbursings,,,,,,
reimbursement,reimbursement,reimbursements,,,,,,,,,
relocate,relocate,relocates,relocated,relocating,relocatings,,,,,,
relocation,relocation,relocations,,,,,,,,,
remodel,remodel,remodels,remodeled,remodeling,remodelled,remodelling,remodellings,,,,
renovate,renovate,renovates,renovated,renovating,renovatings,,,,,,
renovation,renovation,renovations,,,,,,,,,
renown,renown,renowned,,,,,,,,,
renter,renter,renters,,,,,,,,,
reopen,reopen,reopens,reopened,reopening,reopenings,,,,,,
repairperson,repairperson,,,,,,,,,,
replication,replication,replications,,,,,,,,,
reschedule,reschedule,reschedules,rescheduled,rescheduling,reschedulings,,,,,,
residual,residual,residuals,,,,,,,,,
residue,residue,residues,,,,,,,,,
resistant,resistant,,,,,,,,,,
respiratory,respiratory,,,,,,,,,,
restatement,restatement,restatements,,,,,,,,,
restroom,restroom,restrooms,,,,,,,,,
reunion,reunion,reunions,,,,,,,,,
reviewer,reviewer,reviewers,,,,,,,,,
revolutionize,revolutionize,revolutionizes,revolutionized,revolutionizing,revolutionise,revolutionises,revolutionised,revolutionising,revolutionisings,,
rug,rug,rugs,,,,,,,,,
r�sum�,r�sum�,r�sum�s,resum�,resum�s,,,,,,,
salesman,salesman,salesmen,,,,,,,,,
salespeople,salespeople,,,,,,,,,,
salesperson,salesperson,salespersons,,,,,,,,,
salon,salon,salons,,,,,,,,,
sauna,sauna,saunas,,,,,,,,,
scarf,scarf,scarves,scarfs,,,,,,,,
scripture,scripture,scriptures,,,,,,,,,
scroll,scroll,scrolls,scrolled,scrolling,scrollings,,,,,,
seafood,seafood,seafoods,,,,,,,,,
seaside,seaside,seasides,,,,,,,,,
seasonal,seasonal,seasonals,,,,,,,,,
secrete,secrete,secretes,secreted,secreting,secretings,,,,,,
sedan,sedan,sedans,,,,,,,,,
sediment,sediment,sediments,sedimented,sedimenting,sedimentings,,,,,,
seeker,seeker,seekers,,,,,,,,,
semester,semester,semesters,,,,,,,,,
semi,semi,,,,,,,,,,
sender,sender,senders,,,,,,,,,
sensory,sensory,,,,,,,,,,
sewer,sewer,sewers,,,,,,,,,
shipment,shipment,shipments,,,,,,,,,
shopper,shopper,shoppers,,,,,,,,,
shorten,shorten,shortens,shortened,shortening,shortenings,,,,,,
showroom,showroom,showrooms,,,,,,,,,
sidewalk,sidewalk,sidewalks,,,,,,,,,
sightsee,sightsee,sightsees,sightseeing,sightsaw,sightseen,sightseeings,,,,,
signify,signify,signifies,signified,signifying,signifyings,,,,,,
silently,silently,,,,,,,,,,
simulate,simulate,simulates,simulated,simulating,simulatings,,,,,,
singular,singular,singulars,,,,,,,,,
skateboard,skateboard,skateboards,skateboarded,skateboarding,skateboardings,,,,,,
skim,skim,skims,skimmed,skimming,skimmings,,,,,,
slab,slab,slabs,slabed,slabing,slabings,,,,,,
slash,slash,slashes,slashed,slashing,slashings,,,,,,
sleepy,sleepy,sleepier,,,,,,,,,
smartphone,smartphone,smartphones,smartphoned,smartphoning,smartphonings,,,,,,
sneeze,sneeze,sneezes,sneezed,sneezing,sneezings,,,,,,
snowy,snowy,snowiest,,,,,,,,,
socialize,socialize,socializes,socialized,socializing,socialise,socialises,socialised,socialising,socialisings,,
sodium,sodium,sodiums,,,,,,,,,
soluble,soluble,solubles,,,,,,,,,
solute,solute,solutes,,,,,,,,,
solvent,solvent,solvents,,,,,,,,,
someday,someday,somedays,,,,,,,,,
spa,spa,spas,,,,,,,,,
spacious,spacious,,,,,,,,,,
spam,spam,spams,spammed,spamming,spammings,,,,,,
spatial,spatial,spatials,,,,,,,,,
splice,splice,splices,spliced,splicing,splicings,,,,,,
spokesperson,spokesperson,spokespersons,spokespeople,,,,,,,,
sponsorship,sponsorship,sponsorships,,,,,,,,,
spreadsheet,spreadsheet,spreadsheets,,,,,,,,,
staple,staple,staples,stapled,stapling,staplings,,,,,,
stapler,stapler,staplers,,,,,,,,,
stationery,stationery,,,,,,,,,,
statistically,statistically,,,,,,,,,,
statistics,statistics,,,,,,,,,,
steak,steak,steaks,,,,,,,,,
stereo,stereo,stereos,,,,,,,,,
sticker,sticker,stickers,,,,,,,,,
stockbroker,stockbroker,stockbrokers,,,,,,,,,
stockholder,stockholder,stockholders,,,,,,,,,
storeroom,storeroom,storerooms,,,,,,,,,
streamline,streamline,streamlines,streamlined,streamlining,streamlinings,,,,,,
subscribe,subscribe,subscribes,subscribed,subscribing,subscribings,,,,,,
subscriber,subscriber,subscribers,,,,,,,,,
subset,subset,subsets,,,,,,,,,
subsidize,subsidize,subsidizes,subsidized,subsidizing,subsidise,subsidises,subsidised,subsidising,subsidisings,,
substitution,substitution,substitutions,,,,,,,,,
substrate,substrate,substrates,,,,,,,,,
subtract,subtract,subtracts,subtracted,subtracting,subtractings,,,,,,
subway,subway,subways,,,,,,,,,
sunscreen,sunscreen,sunscreens,,,,,,,,,
surgical,surgical,surgicals,,,,,,,,,
susceptible,susceptible,susceptibles,,,,,,,,,
syllabus,syllabus,syllabi,syllabuses,,,,,,,,
syntactic,syntactic,syntactics,,,,,,,,,
syntax,syntax,,,,,,,,,,
synthesis,synthesis,syntheses,,,,,,,,,
synthetic,synthetic,synthetics,,,,,,,,,
tablecloth,tablecloth,tablecloths,,,,,,,,,
tablet,tablet,tablets,,,,,,,,,
takeover,takeover,takeovers,,,,,,,,,
taker,taker,takers,,,,,,,,,
tasty,tasty,tastier,tastiest,,,,,,,,
technician,technician,technicians,,,,,,,,,
teller,teller,tellers,,,,,,,,,
temporal,temporal,temporals,,,,,,,,,
termination,termination,terminations,,,,,,,,,
terminology,terminology,terminologies,,,,,,,,,
theorem,theorem,theorems,,,,,,,,,
theorist,theorist,theorists,,,,,,,,,
thermal,thermal,thermals,,,,,,,,,
thickness,thickness,thicknesses,,,,,,,,,
thirsty,thirsty,thirstier,thirstiest,,,,,,,,
thunderstorm,thunderstorm,thunderstorms,,,,,,,,,
timeline,timeline,timelines,,,,,,,,,
timely,timely,,,,,,,,,,
timer,timer,timers,,,,,,,,,
toiletry,toiletry,toiletries,,,,,,,,,
toner,toner,toners,,,,,,,,,
tow,tow,tows,towed,towing,towings,,,,,,
tract,tract,tracts,,,,,,,,,
trademark,trademark,trademarks,,,,,,,,,
trajectory,trajectory,trajectories,,,,,,,,,
trans,trans,,,,,,,,,,
transcribe,transcribe,transcribes,transcribed,transcribing,transcribings,,,,,,
transcription,transcription,transcriptions,,,,,,,,,
transit,transit,transits,transited,transiting,transitings,,,,,,
transparency,transparency,transparencies,,,,,,,,,
triangle,triangle,triangles,,,,,,,,,
trivial,trivial,trivials,,,,,,,,,
true,true,trues,trued,truing,truer,truest,,,,,
tuna,tuna,tunas,,,,,,,,,
turbulent,turbulent,,,,,,,,,,
unattended,unattended,,,,,,,,,,
unauthorize,unauthorize,unauthorizes,unauthorized,unauthorizing,unauthorizings,unauthorise,unauthorised,unauthorising,,,
unavailable,unavailable,unavailables,,,,,,,,,
underway,underway,underways,,,,,,,,,
unlimited,unlimited,,,,,,,,,,
unload,unload,unloads,unloaded,unloading,unloadings,,,,,,
unpaid,unpaid,,,,,,,,,,
unplug,unplug,unplugs,unpluged,unpluging,unplugings,unplugged,unplugging,unpluggings,,,
unreal,unreal,unreals,,,,,,,,,
unreliable,unreliable,unreliables,,,,,,,,,
unspecified,unspecified,,,,,,,,,,
unstable,unstable,unstables,,,,,,,,,
unsure,unsure,,,,,,,,,,
unused,unused,,,,,,,,,,
upcoming,upcoming,upcomings,,,,,,,,,
uplift,uplift,uplifts,uplifted,uplifting,upliftings,,,,,,
urgently,urgently,,,,,,,,,,
urine,urine,,,,,,,,,,
vacancy,vacancy,vacancies,,,,,,,,,
vacant,vacant,vacants,,,,,,,,,
vacate,vacate,vacates,vacated,vacating,vacatings,,,,,,
validate,validate,validates,validated,validating,validatings,,,,,,
vanilla,vanilla,,,,,,,,,,
variability,variability,variabilities,,,,,,,,,
variance,variance,variances,,,,,,,,,
vase,vase,vases,,,,,,,,,
vector,vector,vectors,,,,,,,,,
vegetation,vegetation,,,,,,,,,,
vend,vend,vends,vended,vending,vendings,,,,,,
videoconference,videoconference,videoconferences,videoconferenced,videoconferencing,videoconferencings,,,,,,
violin,violin,violins,,,,,,,,,
visa,visa,visas,,,,,,,,,
volition,volition,volitions,,,,,,,,,
volleyball,volleyball,volleyballs,,,,,,,,,
voucher,voucher,vouchers,,,,,,,,,
waitress,waitress,waitresses,waitressed,waitressing,waitressings,,,,,,
waive,waive,waives,waived,waiving,waivings,,,,,,
walkway,walkway,walkways,,,,,,,,,
wallet,wallet,wallets,,,,,,,,,
watershed,watershed,watersheds,,,,,,,,,
wavelength,wavelength,wavelengths,,,,,,,,,
webpage,webpage,webpages,web-page,web-pages,web page,web pages,,,,,
weekday,weekday,weekdays,,,,,,,,,
wellness,wellness,,,,,,,,,,
wheelchair,wheelchair,wheelchairs,,,,,,,,,
whichever,whichever,whichevers,,,,,,,,,
windy,windy,windier,windiest,,,,,,,,
wisely,wisely,,,,,,,,,,
workbook,workbook,workbooks,,,,,,,,,
wrinkle,wrinkle,wrinkles,wrinkled,wrinkling,wrinklings,,,,,,
wristwatch,wristwatch,wristwatches,,,,,,,,,
yearly,yearly,,,,,,,,,,
yeast,yeast,yeasts,,,,,,,,,
yen,yen,yens,,,,,,,,,
yoga,yoga,yogas,,,,,,,,,
